nuts3,year,yield_tha
DE148,2023,14.52783849263205
DE213,2018,
DE213,2019,16.204219005185
DE213,2020,19.538155056159887
DE213,2021,18.465139532966337
DE213,2022,18.66213318304735
DE213,2023,15.99414748964338
DE215,2018,
DE215,2019,15.067903288197963
DE215,2020,16.473569629602988
DE215,2021,15.308687185801208
DE215,2022,16.977409977976503
DE215,2023,15.775684120544954
DE216,2018,
DE216,2019,14.309704683629567
DE216,2020,14.789594050799318
DE216,2021,14.724369661191057
DE216,2022,16.754582239077333
DE216,2023,14.401109362140696
DE218,2018,
DE218,2019,16.366287210355637
DE218,2020,16.5714456960219
DE218,2021,18.70031288605006
DE218,2022,16.804841698814165
DE218,2023,11.461616944633606
DE21D,2018,
DE21D,2019,12.458060115036567
DE21D,2020,12.876607756275728
DE21D,2021,12.033890132716612
DE21D,2022,14.851243497629927
DE21D,2023,14.073544330419677
DE21F,2018,
DE21F,2019,13.346179451568426
DE21F,2020,13.182021108292474
DE21F,2021,12.765276481569712
DE21F,2022,14.995809631062679
DE21F,2023,13.82158013327347
DE21K,2018,
DE21K,2019,16.568480784309607
DE21K,2020,20.908459169978254
DE21K,2021,19.638092136672036
DE21K,2022,19.49414040791669
DE21K,2023,15.981851543683119
DE21L,2018,
DE21L,2019,16.80476348816362
DE21L,2020,15.54591780336516
DE21L,2021,18.498036152109936
DE21L,2022,16.689106532998196
DE21L,2023,11.77234809025923
DE21M,2018,
DE21M,2019,17.255025625189433
DE21M,2020,21.1067959644412
DE21M,2021,19.513702500469243
DE21M,2022,19.16112437990071
DE21M,2023,16.913169425532423
DE21N,2018,
DE21N,2019,15.60082031544677
DE21N,2020,16.306697720895713
DE21N,2021,17.21185425156648
DE21N,2022,17.623744644274954
DE21N,2023,14.532912383371496
DE225,2018,
DE225,2019,17.824675982315572
DE225,2020,18.248950310326407
DE225,2021,20.093924644825307
DE225,2022,18.553361281556167
DE225,2023,13.600814756133762
DE263,2018,
DE263,2019,10.251549001095864
DE263,2020,9.911111817622931
DE263,2021,16.72706751373981
DE263,2022,6.737662387203748
DE263,2023,6.484571100680789
DE272,2018,
DE272,2019,15.907318169602565
DE272,2020,17.126051748004073
DE272,2021,17.626347809377
DE272,2022,17.92858319386268
DE272,2023,14.626358000544988
DE273,2018,
DE273,2019,14.741134161906553
DE273,2020,15.605602710135695
DE273,2021,15.755929481577118
DE273,2022,16.536620944080163
DE273,2023,14.448619635289186
DE27A,2018,
DE27A,2019,16.231329347543014
DE27A,2020,17.30676402514035
DE27A,2021,17.048185162878966
DE27A,2022,16.433721216397803
DE27A,2023,15.993942430706866
DE27B,2018,
DE27B,2019,14.841879635205405
DE27B,2020,15.595266287053699
DE27B,2021,16.21867033181713
DE27B,2022,17.01821635008776
DE27B,2023,14.310457271177704
DE27E,2018,
DE27E,2019,13.84479219775255
DE27E,2020,13.885801472439002
DE27E,2021,12.834300081897846
DE27E,2022,15.435464325194665
DE27E,2023,15.547587525964339
DE401,2018,
DE401,2019,5.711823330676583
DE401,2020,9.211317340090725
DE401,2021,11.06927345635441
DE401,2022,4.876327777346129
DE401,2023,10.691900722566096
DE405,2018,
DE405,2019,7.448560953077906
DE405,2020,7.7592559136190555
DE405,2021,11.095585857656358
DE405,2022,5.810012679567353
DE405,2023,8.340684251891595
DE406,2018,
DE406,2019,6.20702420657478
DE406,2020,3.215348133217093
DE406,2021,10.434861299296234
DE406,2022,6.266304557909586
DE406,2023,7.6457311190321215
DE407,2018,
DE407,2019,6.770889620852179
DE407,2020,5.74044664894561
DE407,2021,11.633017415775818
DE407,2022,7.677600080421453
DE407,2023,7.286788340319692
DE408,2018,
DE408,2019,4.728814741961145
DE408,2020,7.630129563970355
DE408,2021,10.274415417029392
DE408,2022,7.410729166580035
DE408,2023,11.491601788073288
DE40A,2018,
DE40A,2019,7.925547195748612
DE40A,2020,8.241109119496608
DE40A,2021,11.517212845956383
DE40A,2022,6.869978402501727
DE40A,2023,10.14794229372894
DE40B,2018,
DE40B,2019,7.701478930345767
DE40B,2020,6.362969177182115
DE40B,2021,11.622177453313197
DE40B,2022,7.734564919764755
DE40B,2023,6.9903993672112525
DE40C,2018,
DE40C,2019,6.4391454145620415
DE40C,2020,7.070322884239978
DE40C,2021,10.061762695299128
DE40C,2022,5.960920437763197
DE40C,2023,6.376557889873802
DE40D,2018,
DE40D,2019,7.301704026777079
DE40D,2020,8.730279734298708
DE40D,2021,10.934528648482978
DE40D,2022,8.139404655008974
DE40D,2023,12.91527369438529
DE40E,2018,
DE40E,2019,4.418878282473812
DE40E,2020,7.601066165155969
DE40E,2021,10.241677098078897
DE40E,2022,4.838943674414053
DE40E,2023,9.312741519009625
DE40F,2018,
DE40F,2019,10.57388681945693
DE40F,2020,7.623943393541356
DE40F,2021,11.656867899072441
DE40F,2022,9.48734965986017
DE40F,2023,14.166599574288735
DE40G,2018,
DE40G,2019,7.05474368153065
DE40G,2020,5.929065809826068
DE40G,2021,11.277593963663955
DE40G,2022,8.645304976598153
DE40G,2023,7.72860283197133
DE40H,2018,
DE40H,2019,4.749601320794495
DE40H,2020,5.573957888151152
DE40H,2021,8.103042294423146
DE40H,2022,5.607143407003003
DE40H,2023,6.797598819062161
DE803,2018,
DE803,2019,12.416230125573886
DE803,2020,11.09296005038193
DE803,2021,13.08503832699236
DE803,2022,10.630609729019147
DE803,2023,14.686488833902251
DE80L,2018,
DE80L,2019,11.458497335059418
DE80L,2020,11.762846000045156
DE80L,2021,10.346486701288065
DE80L,2022,13.10408633862534
DE80L,2023,13.59806831714988
DE80M,2018,
DE80M,2019,11.248654981979254
DE80M,2020,9.633626928696497
DE80M,2021,13.338086453944266
DE80M,2022,7.54249252337175
DE80M,2023,13.813541170518668
DE937,2018,
DE937,2019,14.330720482122718
DE937,2020,14.229378202545089
DE937,2021,16.553047528492595
DE937,2022,10.745688543158247
DE937,2023,15.430302583097564
DE948,2018,
DE948,2019,9.766946406046424
DE948,2020,14.044188688308552
DE948,2021,18.39976265236602
DE948,2022,10.925205845593457
DE948,2023,15.695520882579164
DE949,2018,
DE949,2019,3.776652926477026
DE949,2020,12.21506402230279
DE949,2021,18.4698608669574
DE949,2022,10.5186381035717
DE949,2023,14.373107394716913
DE94B,2018,
DE94B,2019,4.824265709635219
DE94B,2020,12.116781207654212
DE94B,2021,18.433375124333445
DE94B,2022,10.784636854412922
DE94B,2023,14.397942013767848
DEA34,2018,
DEA34,2019,5.382151417356598
DEA34,2020,10.307344047861953
DEA34,2021,17.92678337622935
DEA34,2022,10.68357994547692
DEA34,2023,12.550972862489084
DEA37,2018,
DEA37,2019,5.203271380940127
DEA37,2020,10.86166235322199
DEA37,2021,17.031223028959847
DEA37,2022,9.411820486428185
DEA37,2023,13.46677815618755
DEA59,2018,
DEA59,2019,8.351666434166958
DEA59,2020,10.576202597005686
DEA59,2021,16.596415229866103
DEA59,2022,11.4758488389378
DEA59,2023,14.325101503845453
DEB3A,2018,
DEB3A,2019,5.348246334461473
DEB3A,2020,7.437581743123087
DEB3A,2021,15.88274665919428
DEB3A,2022,9.493237372725972
DEB3A,2023,6.06375599940563
DEC05,2018,
DEC05,2019,5.497282476526447
DEC05,2020,7.513331250054127
DEC05,2021,15.831111882869681
DEC05,2022,9.595258542203561
DEC05,2023,6.072241012762571
DEE06,2018,
DEE06,2019,5.948566864916613
DEE06,2020,9.5539041902739
DEE06,2021,11.28642277378669
DEE06,2022,2.0662399679276837
DEE06,2023,10.444815964148141
DEE0D,2018,
DEE0D,2019,8.75937579767879
DEE0D,2020,10.951938573668107
DEE0D,2021,10.854505425570988
DEE0D,2022,3.8646587051282295
